id,label
1.jpg,0.9493
2.jpg,0.9660
3.jpg,0.9409
4.jpg,0.9561
5.jpg,0.9745
6.jpg,0.9373
7.jpg,0.9710
8.jpg,0.9559
9.jpg,0.9799
10.jpg,0.9632
11.jpg,0.9320
12.jpg,0.9555
13.jpg,0.9701
14.jpg,0.9068
15.jpg,0.9455
16.jpg,0.9543
17.jpg,0.9434
18.jpg,0.9456
19.jpg,0.9710
20.jpg,0.9709
21.jpg,0.9580
22.jpg,0.9919
23.jpg,0.9322
24.jpg,0.9306
25.jpg,0.9778
26.jpg,0.9475
27.jpg,0.9304
28.jpg,0.9818
29.jpg,0.6930
30.jpg,0.9543
31.jpg,0.9563
32.jpg,0.7207
33.jpg,0.9573
34.jpg,0.9805
35.jpg,0.9693
36.jpg,0.9738
37.jpg,0.9611
38.jpg,0.9689
39.jpg,0.8746
40.jpg,0.9696
41.jpg,0.9574
42.jpg,0.9419
43.jpg,0.9563
44.jpg,0.9439
45.jpg,0.9656
46.jpg,0.9527
47.jpg,0.9774
48.jpg,0.9367
49.jpg,0.9495
50.jpg,0.9683
51.jpg,0.9732
52.jpg,0.9698
53.jpg,0.8505
54.jpg,0.9699
55.jpg,0.9752
56.jpg,0.9405
57.jpg,0.9628
58.jpg,0.9645
59.jpg,0.9158
60.jpg,0.9629
61.jpg,0.9199
62.jpg,0.9356
63.jpg,0.9850
64.jpg,0.9685
65.jpg,0.9540
66.jpg,0.9548
67.jpg,0.9475
68.jpg,0.9607
69.jpg,0.9666
70.jpg,0.9393
71.jpg,0.9188
72.jpg,0.9684
73.jpg,0.9628
74.jpg,0.9611
75.jpg,0.9636
76.jpg,0.9481
77.jpg,0.9218
78.jpg,0.9565
79.jpg,0.9499
80.jpg,0.9780
81.jpg,0.9242
82.jpg,0.9166
83.jpg,0.9202
84.jpg,0.9738
85.jpg,0.9603
86.jpg,0.8115
87.jpg,0.9385
88.jpg,0.9634
89.jpg,0.9593
90.jpg,0.9380
91.jpg,0.9669
92.jpg,0.9487
93.jpg,0.9662
94.jpg,0.9692
95.jpg,0.9417
96.jpg,0.9639
97.jpg,0.9223
98.jpg,0.9333
99.jpg,0.9653
100.jpg,0.9598
101.jpg,0.9712
102.jpg,0.9472
103.jpg,0.9571
104.jpg,0.9649
105.jpg,0.9440
106.jpg,0.9632
107.jpg,0.9614
108.jpg,0.9693
109.jpg,0.8959
110.jpg,0.9451
111.jpg,0.9288
112.jpg,0.9576
113.jpg,0.9636
114.jpg,0.9484
115.jpg,0.9571
116.jpg,0.9575
117.jpg,0.9594
118.jpg,0.9571
119.jpg,0.9439
120.jpg,0.9661
121.jpg,0.9575
122.jpg,0.9589
123.jpg,0.9267
124.jpg,0.9598
125.jpg,0.9424
126.jpg,0.8869
127.jpg,0.9578
128.jpg,0.9621
129.jpg,0.9700
130.jpg,0.9437
131.jpg,0.9504
132.jpg,0.9357
133.jpg,0.9489
134.jpg,0.9658
135.jpg,0.9682
136.jpg,0.9799
137.jpg,0.9465
138.jpg,0.6448
139.jpg,0.9783
140.jpg,0.9478
141.jpg,0.9425
142.jpg,0.9389
143.jpg,0.9848
144.jpg,0.9771
145.jpg,0.9749
146.jpg,0.9425
147.jpg,0.9614
148.jpg,0.5116
149.jpg,0.9702
150.jpg,0.9597
151.jpg,0.9657
152.jpg,0.9815
153.jpg,0.9783
154.jpg,0.9569
155.jpg,0.9669
156.jpg,0.9747
157.jpg,0.9490
158.jpg,0.9478
159.jpg,0.9587
160.jpg,0.9668
161.jpg,0.9702
162.jpg,0.9755
163.jpg,0.9647
164.jpg,0.9586
165.jpg,0.9681
166.jpg,0.9828
167.jpg,0.9293
168.jpg,0.9775
169.jpg,0.9735
170.jpg,0.9796
171.jpg,0.9521
172.jpg,0.9632
173.jpg,0.9169
174.jpg,0.9435
175.jpg,0.9641
176.jpg,0.9365
177.jpg,0.9153
178.jpg,0.9191
179.jpg,0.9306
180.jpg,0.9498
181.jpg,0.9540
182.jpg,0.9732
183.jpg,0.9604
184.jpg,0.9614
185.jpg,0.9190
186.jpg,0.9427
187.jpg,0.9602
188.jpg,0.9331
189.jpg,0.9486
190.jpg,0.9578
191.jpg,0.9655
192.jpg,0.9386
193.jpg,0.9701
194.jpg,0.9460
195.jpg,0.9592
196.jpg,0.9699
197.jpg,0.8693
198.jpg,0.9748
199.jpg,0.8921
200.jpg,0.6502
201.jpg,0.9718
202.jpg,0.9527
203.jpg,0.9515
204.jpg,0.9494
205.jpg,0.9655
206.jpg,0.9790
207.jpg,0.9435
208.jpg,0.9584
209.jpg,0.9646
210.jpg,0.9532
211.jpg,0.9573
212.jpg,0.9604
213.jpg,0.8528
214.jpg,0.9566
215.jpg,0.9396
216.jpg,0.9573
217.jpg,0.9530
218.jpg,0.9362
219.jpg,0.9628
220.jpg,0.9422
221.jpg,0.9564
222.jpg,0.9673
223.jpg,0.9658
224.jpg,0.9480
225.jpg,0.9588
226.jpg,0.9375
227.jpg,0.9539
228.jpg,0.9494
229.jpg,0.9534
230.jpg,0.9677
231.jpg,0.9751
232.jpg,0.9011
233.jpg,0.9409
234.jpg,0.9704
235.jpg,0.9519
236.jpg,0.9695
237.jpg,0.9715
238.jpg,0.9671
239.jpg,0.9701
240.jpg,0.9363
241.jpg,0.9410
242.jpg,0.9313
243.jpg,0.9771
244.jpg,0.9375
245.jpg,0.9534
246.jpg,0.9651
247.jpg,0.9690
248.jpg,0.9733
249.jpg,0.9686
250.jpg,0.9672
251.jpg,0.9579
252.jpg,0.9703
253.jpg,0.9529
254.jpg,0.9861
255.jpg,0.9714
256.jpg,0.9675
257.jpg,0.9494
258.jpg,0.9491
259.jpg,0.9368
260.jpg,0.9365
261.jpg,0.9471
262.jpg,0.9110
263.jpg,0.9515
264.jpg,0.9561
265.jpg,0.9233
266.jpg,0.9649
267.jpg,0.9480
268.jpg,0.9684
269.jpg,0.9578
270.jpg,0.9541
271.jpg,0.9333
272.jpg,0.9765
273.jpg,0.9525
274.jpg,0.9737
275.jpg,0.9834
276.jpg,0.9311
277.jpg,0.9196
278.jpg,0.9669
279.jpg,0.9693
280.jpg,0.9702
281.jpg,0.9540
282.jpg,0.9687
283.jpg,0.9666
284.jpg,0.9784
285.jpg,0.9756
286.jpg,0.9401
287.jpg,0.9590
288.jpg,0.9463
289.jpg,0.9632
290.jpg,0.9689
291.jpg,0.9781
292.jpg,0.9550
293.jpg,0.9642
294.jpg,0.9198
295.jpg,0.9638
296.jpg,0.9690
297.jpg,0.9534
298.jpg,0.9327
299.jpg,0.9283
300.jpg,0.9649
301.jpg,0.9756
302.jpg,0.9667
303.jpg,0.9608
304.jpg,0.9792
305.jpg,0.9618
306.jpg,0.9536
307.jpg,0.9539
308.jpg,0.9460
309.jpg,0.9696
310.jpg,0.9422
311.jpg,0.9373
312.jpg,0.9267
313.jpg,0.9684
314.jpg,0.9808
315.jpg,0.9575
316.jpg,0.8121
317.jpg,0.9491
318.jpg,0.9632
319.jpg,0.9743
320.jpg,0.9663
321.jpg,0.9508
322.jpg,0.9770
323.jpg,0.9736
324.jpg,0.9784
325.jpg,0.9326
326.jpg,0.8461
327.jpg,0.9488
328.jpg,0.9694
329.jpg,0.9575
330.jpg,0.9171
331.jpg,0.7983
332.jpg,0.8469
333.jpg,0.9576
334.jpg,0.9544
335.jpg,0.9817
336.jpg,0.9527
337.jpg,0.9534
338.jpg,0.9678
339.jpg,0.9692
340.jpg,0.9737
341.jpg,0.9614
342.jpg,0.9830
343.jpg,0.9596
344.jpg,0.9688
345.jpg,0.8114
346.jpg,0.9517
347.jpg,0.9676
348.jpg,0.9381
349.jpg,0.9566
350.jpg,0.9710
351.jpg,0.9695
352.jpg,0.9539
353.jpg,0.9528
354.jpg,0.9276
355.jpg,0.9421
356.jpg,0.9358
357.jpg,0.9703
358.jpg,0.9664
359.jpg,0.9681
360.jpg,0.9706
361.jpg,0.9619
362.jpg,0.9698
363.jpg,0.9519
364.jpg,0.9689
365.jpg,0.9579
366.jpg,0.9362
367.jpg,0.9098
368.jpg,0.9568
369.jpg,0.9600
370.jpg,0.9485
371.jpg,0.9575
372.jpg,0.9825
373.jpg,0.9441
374.jpg,0.9803
375.jpg,0.9541
376.jpg,0.9695
377.jpg,0.9544
378.jpg,0.9545
379.jpg,0.9414
380.jpg,0.9188
381.jpg,0.9476
382.jpg,0.9628
383.jpg,0.9654
384.jpg,0.9625
385.jpg,0.9694
386.jpg,0.9547
387.jpg,0.9686
388.jpg,0.9638
389.jpg,0.9405
390.jpg,0.9345
391.jpg,0.9371
392.jpg,0.5926
393.jpg,0.9783
394.jpg,0.9637
395.jpg,0.9309
396.jpg,0.9696
397.jpg,0.9371
398.jpg,0.9557
399.jpg,0.9458
400.jpg,0.9495
401.jpg,0.9615
402.jpg,0.9691
403.jpg,0.9726
404.jpg,0.9557
405.jpg,0.9586
406.jpg,0.9337
407.jpg,0.9296
408.jpg,0.9008
409.jpg,0.8136
410.jpg,0.9630
411.jpg,0.9503
412.jpg,0.9577
413.jpg,0.9513
414.jpg,0.9661
415.jpg,0.9658
416.jpg,0.9597
