id,label
1.jpg,0.9276
2.jpg,0.9523
3.jpg,0.9035
4.jpg,0.9368
5.jpg,0.9723
6.jpg,0.9034
7.jpg,0.9589
8.jpg,0.9424
9.jpg,0.9843
10.jpg,0.9255
11.jpg,0.9167
12.jpg,0.9358
13.jpg,0.9207
14.jpg,0.8953
15.jpg,0.9444
16.jpg,0.8714
17.jpg,0.9303
18.jpg,0.9175
19.jpg,0.9497
20.jpg,0.9638
21.jpg,0.9631
22.jpg,0.9640
23.jpg,0.9496
24.jpg,0.9241
25.jpg,0.9246
26.jpg,0.9308
27.jpg,0.9246
28.jpg,0.9584
29.jpg,0.8466
30.jpg,0.9326
31.jpg,0.9786
32.jpg,0.8625
33.jpg,0.9452
34.jpg,0.9537
35.jpg,0.9536
36.jpg,0.9251
37.jpg,0.9178
38.jpg,0.9063
39.jpg,0.9353
40.jpg,0.9414
41.jpg,0.9664
42.jpg,0.9310
43.jpg,0.9513
44.jpg,0.9538
45.jpg,0.9324
46.jpg,0.9600
47.jpg,0.9627
48.jpg,0.9342
49.jpg,0.9131
50.jpg,0.9721
51.jpg,0.9799
52.jpg,0.9150
53.jpg,0.9200
54.jpg,0.9601
55.jpg,0.9564
56.jpg,0.8888
57.jpg,0.9379
58.jpg,0.9445
59.jpg,0.9387
60.jpg,0.9129
61.jpg,0.9282
62.jpg,0.9006
63.jpg,0.9652
64.jpg,0.9605
65.jpg,0.9714
66.jpg,0.8755
67.jpg,0.9396
68.jpg,0.9321
69.jpg,0.9605
70.jpg,0.9445
71.jpg,0.8963
72.jpg,0.9395
73.jpg,0.9409
74.jpg,0.9740
75.jpg,0.9551
76.jpg,0.9183
77.jpg,0.9563
78.jpg,0.8910
79.jpg,0.9773
80.jpg,0.9412
81.jpg,0.6347
82.jpg,0.9221
83.jpg,0.9180
84.jpg,0.9755
85.jpg,0.9530
86.jpg,0.8564
87.jpg,0.8649
88.jpg,0.9569
89.jpg,0.9191
90.jpg,0.8603
91.jpg,0.9067
92.jpg,0.9321
93.jpg,0.9325
94.jpg,0.9824
95.jpg,0.9650
96.jpg,0.9591
97.jpg,0.9448
98.jpg,0.8675
99.jpg,0.9091
100.jpg,0.9139
101.jpg,0.9319
102.jpg,0.9537
103.jpg,0.9386
104.jpg,0.9634
105.jpg,0.9176
106.jpg,0.9417
107.jpg,0.9719
108.jpg,0.9676
109.jpg,0.9240
110.jpg,0.9060
111.jpg,0.9295
112.jpg,0.9300
113.jpg,0.9184
114.jpg,0.8772
115.jpg,0.8891
116.jpg,0.9187
117.jpg,0.9562
118.jpg,0.9634
119.jpg,0.9351
120.jpg,0.9292
121.jpg,0.9321
122.jpg,0.9221
123.jpg,0.9257
124.jpg,0.9414
125.jpg,0.8915
