id,label
1.jpg,0.7005
2.jpg,0.9194
3.jpg,0.8460
4.jpg,0.7913
5.jpg,0.9121
6.jpg,0.7590
7.jpg,0.9207
8.jpg,0.7717
9.jpg,0.9203
10.jpg,0.7640
11.jpg,0.8191
12.jpg,0.8188
13.jpg,0.8606
14.jpg,0.7188
15.jpg,0.7574
16.jpg,0.6656
17.jpg,0.7491
18.jpg,0.8990
19.jpg,0.8068
20.jpg,0.8155
21.jpg,0.8836
22.jpg,0.5461
23.jpg,0.9533
24.jpg,0.8125
25.jpg,0.8979
26.jpg,0.7084
27.jpg,0.8527
28.jpg,0.9247
29.jpg,0.5448
30.jpg,0.7176
31.jpg,0.8645
32.jpg,0.5739
33.jpg,0.8401
34.jpg,0.8948
35.jpg,0.7906
36.jpg,0.7446
37.jpg,0.8201
38.jpg,0.8711
39.jpg,0.9032
40.jpg,0.8441
41.jpg,0.8925
42.jpg,0.8548
43.jpg,0.9068
44.jpg,0.9058
45.jpg,0.8651
46.jpg,0.8834
47.jpg,0.7855
48.jpg,0.8143
49.jpg,0.9104
50.jpg,0.8705
51.jpg,0.8506
52.jpg,0.9028
53.jpg,0.6986
54.jpg,0.6452
55.jpg,0.7452
56.jpg,0.7057
57.jpg,0.9603
58.jpg,0.8968
59.jpg,0.6221
60.jpg,0.8613
61.jpg,0.8650
62.jpg,0.7970
63.jpg,0.8413
64.jpg,0.6409
65.jpg,0.8048
66.jpg,0.5696
67.jpg,0.7787
68.jpg,0.8451
69.jpg,0.9074
70.jpg,0.8185
71.jpg,0.5567
72.jpg,0.8745
73.jpg,0.7873
74.jpg,0.8726
75.jpg,0.7857
76.jpg,0.7894
77.jpg,0.9382
78.jpg,0.7750
79.jpg,0.8735
80.jpg,0.7991
81.jpg,0.6459
82.jpg,0.8168
83.jpg,0.9612
84.jpg,0.8908
85.jpg,0.6956
86.jpg,0.7955
87.jpg,0.8572
88.jpg,0.9425
89.jpg,0.8649
90.jpg,0.6097
91.jpg,0.5817
92.jpg,0.8332
93.jpg,0.8599
94.jpg,0.9287
95.jpg,0.8102
96.jpg,0.8649
97.jpg,0.8900
98.jpg,0.6147
99.jpg,0.8476
100.jpg,0.6269
101.jpg,0.8040
102.jpg,0.8272
103.jpg,0.8819
104.jpg,0.8897
105.jpg,0.6533
106.jpg,0.6996
107.jpg,0.8157
108.jpg,0.8539
109.jpg,0.7598
110.jpg,0.8492
111.jpg,0.8848
112.jpg,0.8125
113.jpg,0.8695
114.jpg,0.6150
115.jpg,0.8112
116.jpg,0.9072
117.jpg,0.6938
118.jpg,0.9369
119.jpg,0.8308
120.jpg,0.6679
121.jpg,0.5971
122.jpg,0.8324
123.jpg,0.8335
124.jpg,0.8263
125.jpg,0.7609
126.jpg,0.5896
127.jpg,0.8278
128.jpg,0.9325
129.jpg,0.8880
130.jpg,0.8124
131.jpg,0.6580
132.jpg,0.7460
133.jpg,0.6432
134.jpg,0.8131
135.jpg,0.8928
136.jpg,0.8190
137.jpg,0.8779
138.jpg,0.6747
139.jpg,0.5465
140.jpg,0.7600
141.jpg,0.8322
142.jpg,0.8941
143.jpg,0.6586
144.jpg,0.5053
145.jpg,0.7866
146.jpg,0.8026
147.jpg,0.7790
148.jpg,0.6923
149.jpg,0.9048
150.jpg,0.7907
151.jpg,0.7645
152.jpg,0.7368
153.jpg,0.6982
154.jpg,0.8724
155.jpg,0.8431
156.jpg,0.8387
157.jpg,0.8492
158.jpg,0.8896
159.jpg,0.8633
160.jpg,0.8166
161.jpg,0.8660
162.jpg,0.8936
163.jpg,0.8827
164.jpg,0.6303
165.jpg,0.6386
166.jpg,0.7431
167.jpg,0.6531
168.jpg,0.8570
169.jpg,0.8676
170.jpg,0.8017
171.jpg,0.5237
172.jpg,0.8867
173.jpg,0.5280
174.jpg,0.8759
175.jpg,0.8229
176.jpg,0.8460
177.jpg,0.9123
178.jpg,0.9182
179.jpg,0.5480
180.jpg,0.7866
181.jpg,0.7914
182.jpg,0.8822
183.jpg,0.8198
184.jpg,0.8419
185.jpg,0.8159
186.jpg,0.8595
187.jpg,0.7915
188.jpg,0.8272
189.jpg,0.8074
190.jpg,0.8639
191.jpg,0.8546
192.jpg,0.6239
193.jpg,0.8488
194.jpg,0.9233
195.jpg,0.6562
196.jpg,0.8794
197.jpg,0.6100
198.jpg,0.8360
199.jpg,0.7364
200.jpg,0.5232
201.jpg,0.8547
202.jpg,0.8430
203.jpg,0.9312
204.jpg,0.7933
205.jpg,0.9051
206.jpg,0.8363
207.jpg,0.7840
208.jpg,0.7766
209.jpg,0.7655
210.jpg,0.7817
211.jpg,0.9154
212.jpg,0.9289
213.jpg,0.7104
214.jpg,0.6241
215.jpg,0.9132
216.jpg,0.6669
217.jpg,0.7716
218.jpg,0.7202
219.jpg,0.8063
220.jpg,0.8914
221.jpg,0.6929
222.jpg,0.8513
223.jpg,0.9356
224.jpg,0.9108
225.jpg,0.7871
226.jpg,0.7350
227.jpg,0.8097
228.jpg,0.7728
229.jpg,0.9200
230.jpg,0.8565
231.jpg,0.7507
232.jpg,0.5633
233.jpg,0.7006
234.jpg,0.7537
235.jpg,0.8071
236.jpg,0.5468
237.jpg,0.7857
238.jpg,0.6448
239.jpg,0.7898
240.jpg,0.7295
241.jpg,0.8354
242.jpg,0.6967
243.jpg,0.8136
244.jpg,0.7952
245.jpg,0.8885
246.jpg,0.6357
247.jpg,0.8322
248.jpg,0.8614
249.jpg,0.7787
250.jpg,0.9741
251.jpg,0.8958
252.jpg,0.8932
253.jpg,0.8126
254.jpg,0.6777
255.jpg,0.6139
256.jpg,0.8732
257.jpg,0.6955
258.jpg,0.8686
259.jpg,0.7565
260.jpg,0.7156
261.jpg,0.8506
262.jpg,0.8409
263.jpg,0.8503
264.jpg,0.9664
265.jpg,0.8154
266.jpg,0.8544
267.jpg,0.9108
268.jpg,0.7941
269.jpg,0.8304
270.jpg,0.9348
271.jpg,0.6677
272.jpg,0.8430
273.jpg,0.7494
274.jpg,0.8263
275.jpg,0.9451
276.jpg,0.8862
277.jpg,0.6751
278.jpg,0.8687
279.jpg,0.8028
280.jpg,0.9505
281.jpg,0.5582
282.jpg,0.8883
283.jpg,0.8310
284.jpg,0.8360
285.jpg,0.8923
286.jpg,0.7769
287.jpg,0.8400
288.jpg,0.8333
289.jpg,0.8797
290.jpg,0.8529
291.jpg,0.6976
292.jpg,0.8187
293.jpg,0.8560
294.jpg,0.5156
295.jpg,0.8071
296.jpg,0.9112
297.jpg,0.8089
298.jpg,0.5036
299.jpg,0.8568
300.jpg,0.8359
301.jpg,0.8946
302.jpg,0.9144
303.jpg,0.7274
304.jpg,0.8578
305.jpg,0.8182
306.jpg,0.8232
307.jpg,0.7433
308.jpg,0.7679
309.jpg,0.8709
310.jpg,0.7142
311.jpg,0.6354
312.jpg,0.6266
313.jpg,0.8733
314.jpg,0.6074
315.jpg,0.6953
316.jpg,0.5383
317.jpg,0.9125
318.jpg,0.7821
319.jpg,0.9209
320.jpg,0.8089
321.jpg,0.7889
322.jpg,0.8309
323.jpg,0.7634
324.jpg,0.8954
325.jpg,0.7734
326.jpg,0.6191
327.jpg,0.6824
328.jpg,0.9272
329.jpg,0.8525
330.jpg,0.5200
331.jpg,0.7742
332.jpg,0.5064
333.jpg,0.7129
334.jpg,0.9124
335.jpg,0.8464
336.jpg,0.8882
337.jpg,0.8606
338.jpg,0.7738
339.jpg,0.8767
340.jpg,0.9100
341.jpg,0.7281
342.jpg,0.8792
343.jpg,0.8314
344.jpg,0.6267
345.jpg,0.5764
346.jpg,0.8535
347.jpg,0.8889
348.jpg,0.8063
349.jpg,0.8510
350.jpg,0.8817
351.jpg,0.8210
352.jpg,0.8640
353.jpg,0.7578
354.jpg,0.5702
355.jpg,0.5107
356.jpg,0.5521
357.jpg,0.8174
358.jpg,0.7960
359.jpg,0.8121
360.jpg,0.7600
361.jpg,0.5368
362.jpg,0.8012
363.jpg,0.7253
364.jpg,0.7971
365.jpg,0.8468
366.jpg,0.9218
367.jpg,0.6776
368.jpg,0.8982
369.jpg,0.9089
370.jpg,0.8254
371.jpg,0.7427
372.jpg,0.8237
373.jpg,0.7248
374.jpg,0.9142
375.jpg,0.8485
376.jpg,0.8722
377.jpg,0.8238
378.jpg,0.7357
379.jpg,0.8337
380.jpg,0.6458
381.jpg,0.7797
382.jpg,0.7574
383.jpg,0.8556
384.jpg,0.9429
385.jpg,0.8435
386.jpg,0.8498
387.jpg,0.8319
388.jpg,0.9023
389.jpg,0.9156
390.jpg,0.6364
391.jpg,0.6688
392.jpg,0.5431
393.jpg,0.7525
394.jpg,0.7733
395.jpg,0.6446
396.jpg,0.7759
397.jpg,0.8546
398.jpg,0.7332
399.jpg,0.8971
400.jpg,0.7334
401.jpg,0.8371
402.jpg,0.7240
403.jpg,0.9130
404.jpg,0.8688
405.jpg,0.8427
406.jpg,0.7828
407.jpg,0.6868
408.jpg,0.8141
409.jpg,0.5716
410.jpg,0.6037
411.jpg,0.9239
412.jpg,0.9655
413.jpg,0.7991
414.jpg,0.8066
415.jpg,0.9540
416.jpg,0.9065
417.jpg,0.8738
418.jpg,0.7363
419.jpg,0.5661
420.jpg,0.8592
421.jpg,0.8882
422.jpg,0.8463
423.jpg,0.8875
424.jpg,0.8826
425.jpg,0.6050
426.jpg,0.9109
427.jpg,0.5284
428.jpg,0.7798
429.jpg,0.8879
430.jpg,0.8702
431.jpg,0.6877
432.jpg,0.8917
433.jpg,0.7051
434.jpg,0.5544
435.jpg,0.8941
436.jpg,0.8034
437.jpg,0.8562
438.jpg,0.6248
439.jpg,0.8449
440.jpg,0.6943
441.jpg,0.7880
442.jpg,0.8437
443.jpg,0.7725
444.jpg,0.9251
445.jpg,0.8101
446.jpg,0.7240
447.jpg,0.8727
448.jpg,0.7628
449.jpg,0.7844
450.jpg,0.7016
451.jpg,0.6938
452.jpg,0.6274
453.jpg,0.8504
454.jpg,0.8230
455.jpg,0.7694
456.jpg,0.7047
457.jpg,0.7901
458.jpg,0.7248
459.jpg,0.7507
460.jpg,0.7873
461.jpg,0.5801
462.jpg,0.8966
463.jpg,0.7358
464.jpg,0.7509
465.jpg,0.6827
466.jpg,0.8230
467.jpg,0.9400
468.jpg,0.9503
469.jpg,0.9435
470.jpg,0.9139
471.jpg,0.8171
472.jpg,0.7729
473.jpg,0.8591
474.jpg,0.8619
475.jpg,0.8246
476.jpg,0.8078
477.jpg,0.6908
478.jpg,0.9239
479.jpg,0.7899
480.jpg,0.6366
481.jpg,0.7123
482.jpg,0.9341
483.jpg,0.8377
484.jpg,0.8807
485.jpg,0.8537
486.jpg,0.9792
487.jpg,0.8773
488.jpg,0.9002
489.jpg,0.5216
490.jpg,0.7201
491.jpg,0.6611
492.jpg,0.8260
493.jpg,0.6253
494.jpg,0.6370
495.jpg,0.7048
496.jpg,0.8458
497.jpg,0.8480
498.jpg,0.8134
499.jpg,0.8542
500.jpg,0.7695
501.jpg,0.5686
502.jpg,0.7509
503.jpg,0.8693
504.jpg,0.8057
505.jpg,0.7519
506.jpg,0.9052
507.jpg,0.6131
508.jpg,0.7982
509.jpg,0.9631
510.jpg,0.8368
511.jpg,0.8373
512.jpg,0.9419
513.jpg,0.7887
514.jpg,0.8294
515.jpg,0.8569
516.jpg,0.7520
517.jpg,0.8210
518.jpg,0.7511
519.jpg,0.8789
520.jpg,0.8604
521.jpg,0.7777
522.jpg,0.8279
523.jpg,0.8701
524.jpg,0.6703
525.jpg,0.9633
526.jpg,0.7771
527.jpg,0.6188
528.jpg,0.7942
529.jpg,0.8174
530.jpg,0.7669
531.jpg,0.7661
532.jpg,0.7523
533.jpg,0.8383
534.jpg,0.8262
535.jpg,0.6212
536.jpg,0.8269
537.jpg,0.7544
538.jpg,0.6758
539.jpg,0.9098
540.jpg,0.9070
541.jpg,0.8619
542.jpg,0.8517
543.jpg,0.8576
544.jpg,0.7749
545.jpg,0.9066
546.jpg,0.6736
547.jpg,0.9454
548.jpg,0.5402
549.jpg,0.8850
550.jpg,0.7937
551.jpg,0.7238
552.jpg,0.7818
553.jpg,0.7918
554.jpg,0.9234
555.jpg,0.8766
556.jpg,0.8524
557.jpg,0.6008
558.jpg,0.9280
559.jpg,0.7161
560.jpg,0.9089
561.jpg,0.8032
562.jpg,0.8931
563.jpg,0.8089
564.jpg,0.7614
565.jpg,0.9391
566.jpg,0.8784
567.jpg,0.7316
568.jpg,0.8268
569.jpg,0.6633
570.jpg,0.8493
571.jpg,0.7677
572.jpg,0.8372
573.jpg,0.6918
574.jpg,0.8615
575.jpg,0.8575
576.jpg,0.5370
577.jpg,0.8888
578.jpg,0.8382
579.jpg,0.8953
580.jpg,0.8364
581.jpg,0.7156
582.jpg,0.8925
583.jpg,0.7655
584.jpg,0.9249
585.jpg,0.8637
586.jpg,0.8677
587.jpg,0.8619
588.jpg,0.7747
589.jpg,0.8850
590.jpg,0.7074
591.jpg,0.8710
592.jpg,0.8284
593.jpg,0.8346
594.jpg,0.8762
595.jpg,0.9255
596.jpg,0.7804
597.jpg,0.8907
598.jpg,0.6731
599.jpg,0.9217
600.jpg,0.7762
601.jpg,0.6351
602.jpg,0.6429
603.jpg,0.7916
604.jpg,0.7590
605.jpg,0.8305
606.jpg,0.8595
607.jpg,0.8490
608.jpg,0.6240
609.jpg,0.7784
610.jpg,0.7840
611.jpg,0.8843
612.jpg,0.7073
613.jpg,0.8406
614.jpg,0.7183
615.jpg,0.9359
616.jpg,0.6261
617.jpg,0.9285
618.jpg,0.7272
619.jpg,0.8333
620.jpg,0.8588
621.jpg,0.8410
622.jpg,0.8316
623.jpg,0.8252
624.jpg,0.7331
625.jpg,0.7593
626.jpg,0.5004
627.jpg,0.8759
628.jpg,0.8638
629.jpg,0.8064
630.jpg,0.9389
631.jpg,0.8257
632.jpg,0.8912
633.jpg,0.7836
634.jpg,0.8575
635.jpg,0.5474
636.jpg,0.5268
637.jpg,0.8957
638.jpg,0.9223
639.jpg,0.8055
640.jpg,0.8381
641.jpg,0.8343
642.jpg,0.7630
643.jpg,0.8995
644.jpg,0.8315
645.jpg,0.7585
646.jpg,0.6878
647.jpg,0.9482
648.jpg,0.8986
649.jpg,0.7788
650.jpg,0.9459
651.jpg,0.8554
652.jpg,0.8688
653.jpg,0.7924
654.jpg,0.7761
655.jpg,0.6972
656.jpg,0.8032
657.jpg,0.6596
658.jpg,0.9524
659.jpg,0.8380
660.jpg,0.8741
661.jpg,0.8455
662.jpg,0.7842
663.jpg,0.8258
664.jpg,0.9143
665.jpg,0.7519
666.jpg,0.7456
667.jpg,0.8883
668.jpg,0.9330
669.jpg,0.9125
670.jpg,0.8685
671.jpg,0.8309
672.jpg,0.7935
673.jpg,0.7827
674.jpg,0.5487
675.jpg,0.5696
676.jpg,0.6592
677.jpg,0.7253
678.jpg,0.5061
679.jpg,0.7744
680.jpg,0.8760
681.jpg,0.7563
682.jpg,0.7437
683.jpg,0.7500
684.jpg,0.9075
685.jpg,0.6433
686.jpg,0.9151
687.jpg,0.9117
688.jpg,0.8707
689.jpg,0.8249
690.jpg,0.6014
691.jpg,0.9208
692.jpg,0.7978
693.jpg,0.8331
694.jpg,0.6377
695.jpg,0.9098
696.jpg,0.8529
697.jpg,0.6809
698.jpg,0.9316
699.jpg,0.8070
700.jpg,0.6849
701.jpg,0.7143
702.jpg,0.7636
703.jpg,0.7399
704.jpg,0.8200
705.jpg,0.7097
706.jpg,0.8690
707.jpg,0.9119
708.jpg,0.7095
709.jpg,0.7514
710.jpg,0.6623
711.jpg,0.7709
712.jpg,0.8957
713.jpg,0.9329
714.jpg,0.6632
715.jpg,0.8612
716.jpg,0.5137
717.jpg,0.7155
718.jpg,0.7675
719.jpg,0.6271
720.jpg,0.7881
721.jpg,0.8927
722.jpg,0.7474
723.jpg,0.8492
724.jpg,0.6482
725.jpg,0.9236
726.jpg,0.7000
727.jpg,0.6082
728.jpg,0.8595
729.jpg,0.7904
730.jpg,0.7795
731.jpg,0.8623
732.jpg,0.9563
733.jpg,0.6674
734.jpg,0.8066
735.jpg,0.8633
736.jpg,0.8469
737.jpg,0.8895
738.jpg,0.9255
739.jpg,0.7634
740.jpg,0.8316
741.jpg,0.8543
742.jpg,0.8951
743.jpg,0.5945
744.jpg,0.5948
745.jpg,0.9241
746.jpg,0.8351
747.jpg,0.9074
748.jpg,0.7121
749.jpg,0.8910
750.jpg,0.7523
751.jpg,0.7838
752.jpg,0.6906
753.jpg,0.7085
754.jpg,0.7435
755.jpg,0.8563
756.jpg,0.5190
757.jpg,0.9180
758.jpg,0.7448
759.jpg,0.7531
760.jpg,0.7221
761.jpg,0.5144
762.jpg,0.8917
763.jpg,0.8367
764.jpg,0.6589
765.jpg,0.9849
766.jpg,0.8540
767.jpg,0.8554
768.jpg,0.7256
769.jpg,0.9373
770.jpg,0.5189
771.jpg,0.8202
772.jpg,0.8915
773.jpg,0.7393
774.jpg,0.7731
775.jpg,0.8615
776.jpg,0.7955
777.jpg,0.8159
778.jpg,0.7739
779.jpg,0.7566
780.jpg,0.9079
781.jpg,0.8540
782.jpg,0.5316
783.jpg,0.8448
784.jpg,0.7458
785.jpg,0.7753
786.jpg,0.8789
787.jpg,0.6895
788.jpg,0.8003
789.jpg,0.7523
790.jpg,0.7349
791.jpg,0.9051
792.jpg,0.8682
793.jpg,0.7088
794.jpg,0.7585
795.jpg,0.8347
796.jpg,0.6095
797.jpg,0.5195
798.jpg,0.8721
799.jpg,0.8291
800.jpg,0.8108
801.jpg,0.8441
802.jpg,0.8169
803.jpg,0.8641
804.jpg,0.9081
805.jpg,0.7387
806.jpg,0.8962
807.jpg,0.6788
808.jpg,0.6831
809.jpg,0.9340
810.jpg,0.5552
811.jpg,0.7708
812.jpg,0.8815
813.jpg,0.6754
814.jpg,0.6569
815.jpg,0.8599
816.jpg,0.7518
817.jpg,0.8010
818.jpg,0.8371
819.jpg,0.7818
820.jpg,0.9449
821.jpg,0.8646
822.jpg,0.8732
823.jpg,0.9455
824.jpg,0.7569
825.jpg,0.8500
826.jpg,0.9126
827.jpg,0.9187
828.jpg,0.8886
829.jpg,0.7068
830.jpg,0.7556
831.jpg,0.8677
832.jpg,0.9616
833.jpg,0.8255
834.jpg,0.8166
835.jpg,0.8398
836.jpg,0.8430
837.jpg,0.9433
838.jpg,0.8621
839.jpg,0.6084
840.jpg,0.7092
841.jpg,0.8741
842.jpg,0.8194
843.jpg,0.5336
844.jpg,0.6995
845.jpg,0.7340
846.jpg,0.8654
847.jpg,0.7861
848.jpg,0.8513
849.jpg,0.8811
850.jpg,0.7106
851.jpg,0.5740
852.jpg,0.8378
853.jpg,0.9343
854.jpg,0.8859
855.jpg,0.7994
856.jpg,0.8998
857.jpg,0.5172
858.jpg,0.8040
859.jpg,0.7535
860.jpg,0.7319
861.jpg,0.9497
862.jpg,0.8878
863.jpg,0.7931
864.jpg,0.9435
865.jpg,0.9330
866.jpg,0.9562
867.jpg,0.8295
868.jpg,0.7755
869.jpg,0.7941
870.jpg,0.8320
871.jpg,0.7017
872.jpg,0.8028
873.jpg,0.6099
874.jpg,0.9375
875.jpg,0.8575
876.jpg,0.9407
877.jpg,0.8894
878.jpg,0.6700
879.jpg,0.5731
880.jpg,0.9476
881.jpg,0.7695
882.jpg,0.7973
883.jpg,0.9187
884.jpg,0.8718
885.jpg,0.8652
886.jpg,0.8601
887.jpg,0.7908
888.jpg,0.8526
889.jpg,0.8905
890.jpg,0.6586
891.jpg,0.7695
892.jpg,0.6911
893.jpg,0.8611
894.jpg,0.8518
895.jpg,0.5007
896.jpg,0.5339
897.jpg,0.7396
898.jpg,0.8599
899.jpg,0.9423
900.jpg,0.5578
901.jpg,0.8514
902.jpg,0.7734
903.jpg,0.6980
904.jpg,0.8984
905.jpg,0.8590
906.jpg,0.7342
907.jpg,0.9040
908.jpg,0.7426
909.jpg,0.7695
910.jpg,0.9158
911.jpg,0.7627
912.jpg,0.6922
913.jpg,0.5906
914.jpg,0.8311
915.jpg,0.5138
916.jpg,0.6700
917.jpg,0.8904
918.jpg,0.7478
919.jpg,0.7582
920.jpg,0.8238
921.jpg,0.8415
922.jpg,0.7553
923.jpg,0.8996
924.jpg,0.8016
925.jpg,0.9008
926.jpg,0.8606
927.jpg,0.9120
928.jpg,0.9127
929.jpg,0.5683
930.jpg,0.8090
931.jpg,0.8532
932.jpg,0.9496
933.jpg,0.8481
934.jpg,0.8909
935.jpg,0.7346
936.jpg,0.7311
937.jpg,0.7397
938.jpg,0.5552
939.jpg,0.5905
940.jpg,0.9015
941.jpg,0.8813
942.jpg,0.8031
943.jpg,0.5141
944.jpg,0.6206
945.jpg,0.5374
946.jpg,0.9617
947.jpg,0.7234
948.jpg,0.8613
949.jpg,0.8111
950.jpg,0.5446
951.jpg,0.9002
952.jpg,0.8386
953.jpg,0.9162
954.jpg,0.6452
955.jpg,0.8615
956.jpg,0.9326
957.jpg,0.9075
958.jpg,0.9085
959.jpg,0.6651
960.jpg,0.8492
961.jpg,0.7070
962.jpg,0.9466
963.jpg,0.6056
964.jpg,0.8827
965.jpg,0.9303
966.jpg,0.6765
967.jpg,0.9405
968.jpg,0.8298
969.jpg,0.8661
